Country,2023 SDG Index Score,2023 SDG Index Rank,Regions used for the SDR,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Tunisia,72.5,58,MENA,green,↑,red,→,orange,➚,yellow,↑,orange,→,orange,↑,orange,➚,red,→,orange,➚,orange,,red,→,yellow,➚,yellow,➚,red,→,red,→,red,→,yellow,↑
Cyprus,72.5,59,E. Europe & C. Asia,green,→,orange,→,yellow,➚,yellow,➚,yellow,→,orange,→,orange,➚,yellow,➚,orange,➚,yellow,↑,orange,→,red,➚,red,↓,red,➚,orange,→,yellow,↓,red,➚
North Macedonia,72.5,60,E. Europe & C. Asia,yellow,↑,orange,➚,orange,➚,orange,→,orange,➚,orange,↑,orange,→,orange,➚,orange,→,orange,↑,red,→,orange,→,yellow,→,grey,,orange,➚,orange,➚,yellow,➚
Bhutan,72.3,61,East & South Asia,yellow,➚,red,→,orange,➚,yellow,↑,orange,➚,orange,➚,orange,➚,red,→,orange,➚,orange,,yellow,➚,orange,↑,green,➚,grey,,red,↓,yellow,→,orange,➚
Dominican Republic,72.1,62,LAC,yellow,↑,orange,→,red,→,orange,→,yellow,➚,orange,➚,orange,➚,orange,↓,orange,➚,orange,↑,yellow,→,yellow,➚,yellow,➚,orange,→,orange,→,red,→,orange,➚
China,72.0,63,East & South Asia,green,↑,yellow,➚,orange,➚,green,,yellow,→,orange,↑,orange,➚,orange,➚,yellow,↑,orange,→,orange,➚,yellow,→,yellow,→,red,→,red,↓,red,→,orange,→
Singapore,71.8,64,East & South Asia,grey,,orange,→,yellow,➚,green,➚,yellow,➚,red,↑,orange,➚,orange,➚,green,➚,grey,,yellow,➚,red,↑,red,↑,red,→,red,↓,orange,→,orange,➚
Peru,71.7,65,LAC,orange,➚,orange,→,red,➚,green,➚,orange,➚,orange,➚,yellow,➚,orange,➚,orange,➚,red,↓,orange,➚,yellow,➚,yellow,➚,red,➚,red,→,red,→,orange,➚
Kazakhstan,71.6,66,E. Europe & C. Asia,green,↑,red,→,orange,➚,orange,→,yellow,→,orange,➚,red,→,orange,➚,orange,➚,yellow,→,yellow,→,orange,→,red,➚,grey,,red,→,red,➚,orange,➚
Montenegro,71.4,67,E. Europe & C. Asia,green,↑,red,→,orange,➚,yellow,➚,orange,→,orange,↑,yellow,→,orange,→,orange,➚,orange,↑,orange,→,grey,,yellow,↑,red,➚,red,→,orange,➚,yellow,↑
Maldives,71.3,68,East & South Asia,green,↑,red,➚,orange,➚,green,↑,red,→,orange,↑,red,➚,grey,,orange,➚,yellow,↑,orange,➚,grey,,yellow,→,red,➚,orange,↓,orange,→,orange,➚
Uzbekistan,71.1,69,E. Europe & C. Asia,orange,➚,orange,→,red,➚,orange,➚,yellow,↑,red,↑,red,→,orange,→,orange,➚,orange,,orange,➚,yellow,→,yellow,➚,grey,,red,→,red,➚,orange,➚
Morocco,70.9,70,MENA,yellow,→,orange,→,red,➚,orange,➚,red,→,orange,↑,red,➚,red,↓,orange,↑,orange,,orange,→,green,➚,green,→,red,→,orange,➚,red,→,yellow,↑
Algeria,70.8,71,MENA,green,↑,red,➚,orange,➚,red,↑,red,→,orange,→,red,➚,red,→,orange,➚,green,,red,→,yellow,↑,orange,➚,orange,→,red,↓,red,↓,yellow,➚
Türkiye,70.8,72,OECD,yellow,↑,orange,→,orange,➚,orange,↑,red,→,orange,➚,yellow,➚,red,→,red,➚,red,→,orange,→,orange,➚,red,→,red,➚,red,→,red,→,orange,→
El Salvador,70.7,73,LAC,yellow,↑,red,➚,red,➚,orange,→,orange,→,orange,→,orange,➚,orange,→,red,→,orange,➚,orange,→,yellow,↑,green,➚,red,→,orange,→,red,→,yellow,↑
Ecuador,70.4,74,LAC,orange,↓,red,→,red,➚,yellow,→,yellow,➚,orange,↑,orange,➚,orange,→,orange,↑,red,↓,orange,↑,yellow,→,yellow,↑,orange,→,red,→,red,→,orange,→
Indonesia,70.2,75,East & South Asia,orange,↑,red,→,red,➚,yellow,↑,orange,➚,orange,↑,red,→,orange,➚,orange,➚,orange,➚,orange,→,yellow,➚,yellow,→,red,→,red,→,red,→,orange,→
Colombia,70.1,76,OECD,orange,↓,orange,→,red,➚,orange,➚,orange,➚,red,➚,yellow,➚,red,→,red,➚,red,↓,yellow,→,yellow,➚,orange,↑,red,↓,red,→,red,→,orange,➚
Jordan,69.9,77,MENA,green,↑,red,➚,red,→,red,→,red,→,red,→,orange,➚,red,➚,orange,➚,orange,,orange,→,yellow,➚,yellow,↑,yellow,↑,red,→,orange,→,orange,→
Malaysia,69.8,78,East & South Asia,green,↑,red,→,red,→,yellow,→,red,➚,orange,→,red,→,orange,→,yellow,➚,red,,yellow,➚,orange,➚,orange,→,orange,➚,red,→,orange,➚,orange,→
United Arab Emirates,69.7,79,MENA,green,↑,red,➚,yellow,➚,green,→,orange,➚,red,➚,orange,➚,orange,→,yellow,↑,green,,yellow,➚,red,→,red,→,red,➚,red,→,orange,➚,red,➚
Mexico,69.7,80,OECD,orange,→,red,→,red,➚,orange,→,yellow,➚,red,➚,orange,➚,red,→,red,→,red,➚,orange,➚,orange,→,orange,➚,red,→,red,↓,red,↓,orange,→
"Egypt, Arab Rep.",69.6,81,MENA,yellow,↓,red,→,red,➚,orange,↑,orange,➚,orange,↑,orange,➚,red,➚,orange,➚,yellow,,orange,➚,yellow,↑,yellow,➚,red,→,red,→,red,→,orange,→
Jamaica,69.6,82,LAC,yellow,→,red,→,orange,→,orange,↓,yellow,↑,orange,→,red,→,orange,→,orange,➚,red,,yellow,→,orange,→,yellow,➚,red,→,red,→,red,→,yellow,➚
Sri Lanka,69.4,83,East & South Asia,orange,↓,red,➚,red,➚,green,↑,red,→,red,➚,orange,→,orange,→,orange,↑,orange,,orange,→,yellow,➚,green,➚,red,→,red,↓,red,→,red,→
Barbados,69.4,84,LAC,grey,,orange,➚,orange,➚,yellow,↓,orange,➚,red,↑,orange,➚,orange,→,orange,↑,grey,,yellow,➚,grey,,orange,➚,red,➚,orange,↓,red,→,yellow,↑
